                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5319,                 3.1162,                 1.3807,                0.06338,                0.23579,                 0.0704,                0.03326,                 1.5483,                    inf,                 1.8602,             0.00029561,             0.00029561,             0.00029561
                      2,                 1.5462,                 2.0649,                 1.3582,                0.14571,                0.14896,                0.00197,                0.00102,                 2.6549,                    inf,                 10.301,              0.0005912,              0.0005912,              0.0005912
                      3,                 1.6262,                 2.1176,                 1.4071,                 0.0132,                0.13158,                0.00601,                0.00184,                 2.7584,                 22.031,                 2.5636,             0.00087929,             0.00087929,             0.00087929
                      4,                  1.592,                 2.0195,                 1.3806,                0.07881,                0.34474,                0.03976,                0.02373,                 1.9708,                    inf,                 2.0098,             0.00087525,             0.00087525,             0.00087525
                      5,                 1.5677,                 1.9036,                 1.4045,                0.32469,                0.12215,                 0.0695,                0.04119,                 2.5103,                  3.717,                 2.3095,             0.00087525,             0.00087525,             0.00087525
                      6,                 1.5071,                 1.7359,                 1.3374,                0.30959,                0.23273,                0.14608,                0.07543,                 1.7226,                    2.3,                 1.4726,               0.000864,               0.000864,               0.000864
                      7,                 1.5149,                 1.6111,                  1.318,                0.41231,                0.26362,                0.18936,                0.10055,                 1.5283,                 4.3737,                 1.3886,             0.00085276,             0.00085276,             0.00085276
                      8,                 1.4977,                 1.5116,                 1.3089,                0.52904,                0.39019,                 0.3058,                0.16494,                 1.5279,                 4.3643,                 1.4305,             0.00084151,             0.00084151,             0.00084151
                      9,                  1.466,                 1.4354,                 1.2839,                0.36313,                0.38764,                 0.3017,                0.16266,                 1.4592,                 1.8824,                 1.3435,             0.00083026,             0.00083026,             0.00083026
                     10,                 1.4554,                 1.3984,                 1.2612,                0.43928,                0.46278,                0.35426,                0.21024,                 1.4897,                 1.7027,                 1.3891,             0.00081901,             0.00081901,             0.00081901
                     11,                 1.4016,                 1.2968,                 1.2695,                0.53709,                0.35901,                0.36797,                 0.2215,                 1.4533,                 1.4582,                 1.3035,             0.00080776,             0.00080776,             0.00080776
